Country Name, Country Code, 2004, 2005, 2006, 2007
Benin, BEN, 811, 940, 869, 1076
Burkina Faso, BFA, 548, 532, 73, 714
Bangladesh, BGD, 7257, 9995, 11745, 13530
Bulgaria, BGR, 10713, 12703, 16151, 23263
Bahrain, BHR, 10337, 13397, 15662, 17314

